Review,Rating
"Main kesini karena ini salah satu warisan budaya indonesia,candi ini salahsatu yg terbesar diindonesia,,sy tinggal di yogya juga tapi jarak nya kalo kesini lumayan jauh sihh,,tapi sayang 2 masa orang diy gapernah ke candi nya ,,Pengalaman berharga bisa kesini dengan teman2 alumni",Bagus
"Datang pas hujan, begitu masuk langsung sewa andhong buat mengantar ke gerbang candi. Begitu turun langsung sewa payung. Seru... Walau huja tetap berkeringat sampai puncak stupa. Pulangnya nonton animasi Raka, petualangan samudera. Kereen... ",Bagus
"Saya terakhir kali mengunjungi Borobudur pada saat saya SD. Baru sekarang mendapat kesempatan untuk mengunjungi Borobudur kembali. Kami mengunjungi Candi Borobudur pada siang-sore hari di bulan Desember. Pengunjung di Candi Borobodur cukup banyak dan padat. Banyak rombongan mahasiswa atau pelajar. Setelah membeli tiket yang cukup panjang antrinya, kami masuk ke area Candi. Untuk menuju ke Candi Borobodur, kita bisa memakai kereta, kereta kuda, mobil golf dimana kita harus membeli tiket kendaraannya di loket di dalam area Candi. Kami memilih menaiki kereta kuda dan ini merupakan pilihan yang tepat karena menikmati angin sepoi-sepoi sambil naik kereta kuda, Kusirnya pun sangat responsif. Beliau menyarankan tempat-tempat yang bagus untuk mengambil foto dengan latar belakang Candi Borobudur dan beliau yang mengambil fotonya. Jadi kami 2-3 kali berhenti dan mengambil foto sebelum akhirnya sampai di Candi. Untuk menaikin Candi, disarankan memakai sepatu yang nyaman karena tangganya cukup curam dan padat.",Bagus
di jawa tengah terdapat tempat wisata yang bagus untuk menjadi spot foto dengan alam sekitar yaitu candi borobudur yang banyak gambaran dan terdapat sejarah di candi tersebut,Bagus
"Menikmati perjalanan tur anda di Jogja dengan mengunjungi Candi Borobudur. Candi ini adalah candi yang terbesar di Indonesia. Banyak sekali wisatawan lokal maupun luar negeri yang datang kesini. Kamu bisa juga menikmati suasana candi pada waktu yang menurutmu baik seperti Sunrise atau Sunset. Datang ke Candi Borobudur bila kamu menginap dari Jogja, kamu tentunya membutuhkan transportasi. Kamu bisa menghubungi saya untuk transport ke Candi Borobudur.",Bagus
"Menikmati karya nenek moyang kita, sambil berjalan jalan mengikui relief yang ada, tak ada salahnya kita mengucap syukur atas karya leluhur kita ini. Batu candi tersusun rapi, indah, cantik dan mengandung nasehat yang luhur..",Bagus
"Dari sekolah dasar sampai sekarang dewasa. Kalau ke candi Borobudur selalu saja senang banget. Mulai dari pintu masuk sudah ada fasilitas toilet dan mushola,Sebelum kita berjalan ke candinya.Setelah berjalan kiri kanan tampak indah pepohonan dan bunga.Seolah tidak terasa panasnya terik matahari. Saking asyiknya menikmati pemandangan tau tau sudah sampai puncak. Seolah olah kota Magelang dan sekitarnya kelihatan semua dari atas candi.Setelah kita foto2 akhirnya memutuskan untuk menuju pintu keluar disitu ada mushola juga.Alhamdulillah ucapku.Sambil menuju pintu keluar terdapat pedangan yang banyak banget.Bisa memilih oleh2 yang cocok untuk keluarga.Dari dulu sampai sekarang candi Borobudur tetap indah....indah....dan indah....",Bagus
"Sudah tidak diragukan lagi untuk bagunan candinya Sangat menarik penuh dengan unsur kebudayaan, keagamaan dan wisata sejarah,. Banyak juga terdapat tempat sovenir untuk dibawa sebagai oleh oleh",Bagus
Pertama kali ke candi borobudur rasanya merupakan sesuatu yang amazing terlebih lagi buat saya pribadi bisa melihat keindahan alam yang ada di sana apalagi view di borobudur sangat sejuk dan indah pemandangannya.,Bagus
Saya adalah sopir di yogyakarta ke borobudur dalam rangka mengantarkan tamu rombongan dari spanyol dan sekitarnya,Bagus
