,Review,Sentimen,Aspek_Kategori,classified,Label_Aspek,Label_Sen,Review_Bersih,review_stemmed
0,Main kesini karena ini salah satu warisan budaya indonesia,netral,serbaneka,serbaneka,4,0,main kesini karena salah satu warisan budaya indonesia,main kesini karena salah satu waris budaya indonesia
1,candi ini salah satu yg terbesar diindonesia,positif,lokasi,lokasi,2,1,candi salah satu yang terbesar diindonesia,candi salah satu yang besar indonesia
2,sy tinggal di yogya juga tapi jarak nya kalo kesini lumayan jauh sihh,negatif,lokasi,lokasi,2,2,saya tinggal yogya juga tapi jarak kalau kesini lumayan jauh sihh,saya tinggal yogya juga tapi jarak kalau kesini lumayan jauh sihh
3,Pengalaman berharga bisa kesini dengan teman2 alumni,positif,serbaneka,serbaneka,4,1,pengalaman berharga bisa kesini dengan teman teman alumni,alam harga bisa kesini dengan teman teman alumni
4,"Datang pas hujan, begitu masuk langsung sewa andhong buat mengantar ke gerbang candi.",netral,fasilitas,fasilitas,1,0,datang hujan begitu masuk langsung sewa andhong buat mengantar gerbang candi,datang hujan begitu masuk langsung sewa andhong buat antar gerbang candi
5,Begitu turun langsung sewa payung.,netral,fasilitas,serbaneka,1,0,begitu turun langsung sewa payung,begitu turun langsung sewa payung
6,Seru.,positif,serbaneka,serbaneka,4,1,seru,seru
7,Walau hujan tetap berkeringat sampai puncak stupa.,netral,serbaneka,serbaneka,4,0,walau hujan tetap berkeringat sampai puncak stupa,walau hujan tetap keringat sampai puncak stupa
8,"Pulangnya nonton animasi Raka, petualangan samudera.",netral,serbaneka,serbaneka,4,0,pulangnya nonton animasi raka petualangan samudera,pulang nonton animasi raka tualang samudera
9,Kereen.,positif,serbaneka,serbaneka,4,1,keren,keren
10,Saya terakhir kali mengunjungi Borobudur pada saat saya SD.,netral,serbaneka,serbaneka,4,0,saya terakhir kali mengunjungi borobudur pada saat saya,saya akhir kali unjung borobudur pada saat saya
11,Baru sekarang mendapat kesempatan untuk mengunjungi Borobudur kembali.,netral,serbaneka,serbaneka,4,0,baru sekarang mendapat kesempatan untuk mengunjungi borobudur kembali,baru sekarang dapat sempat untuk unjung borobudur kembali
12,Kami mengunjungi Candi Borobudur pada siang-sore hari di bulan Desember.,netral,serbaneka,serbaneka,4,0,kami mengunjungi candi borobudur pada siang sore hari bulan desember,kami unjung candi borobudur pada siang sore hari bulan desember
13,Pengunjung di Candi Borobodur cukup banyak dan padat.,netral,suasana,suasana,3,0,pengunjung candi borobodur cukup banyak padat,unjung candi borobodur cukup banyak padat
14,Banyak rombongan mahasiswa atau pelajar.,netral,serbaneka,serbaneka,4,0,banyak rombongan mahasiswa atau pelajar,banyak rombong mahasiswa atau ajar
15,"Setelah membeli tiket yang cukup panjang antrinya, kami masuk ke area Candi.",netral,serbaneka,serbaneka,4,0,setelah membeli tiket yang cukup panjang antrinya kami masuk area candi,telah beli tiket yang cukup panjang antri kami masuk area candi
16,"Untuk menuju ke Candi Borobodur, kita bisa memakai kereta, kereta kuda, mobil golf dimana kita harus membeli tiket kendaraannya di loket di dalam area Candi.",netral,fasilitas,fasilitas,1,0,untuk menuju candi borobodur kita bisa memakai kereta kereta kuda mobil golf dimana kita harus membeli tiket kendaraannya loket dalam area candi,untuk tuju candi borobodur kita bisa pakai kereta kereta kuda mobil golf mana kita harus beli tiket kendara loket dalam area candi
17,"Kami memilih menaiki kereta kuda dan ini merupakan pilihan yang tepat karena menikmati angin sepoi-sepoi sambil naik kereta kuda, Kusirnya pun sangat responsif.",positif,fasilitas,fasilitas,1,1,kami memilih menaiki kereta kuda merupakan pilihan yang tepat karena menikmati angin sepoi sepoi sambil naik kereta kuda kusirnya sangat responsif,kami pilih naik kereta kuda rupa pilih yang tepat karena nikmat angin sepoi sepoi sambil naik kereta kuda kusir sangat responsif
18,Beliau menyarankan tempat-tempat yang bagus untuk mengambil foto dengan latar belakang Candi Borobudur dan beliau yang mengambil fotonya.,positif,fasilitas,fasilitas,1,1,beliau menyarankan tempat tempat yang bagus untuk mengambil foto dengan latar belakang candi borobudur beliau yang mengambil fotonya,beliau saran tempat tempat yang bagus untuk ambil foto dengan latar belakang candi borobudur beliau yang ambil foto
19,Jadi kami 2-3 kali berhenti dan mengambil foto sebelum akhirnya sampai di Candi.,netral,serbaneka,serbaneka,4,0,jadi kami kali berhenti mengambil foto sebelum akhirnya sampai candi,jadi kami kali henti ambil foto belum akhir sampai candi
20,"Untuk menaikin Candi, disarankan memakai sepatu yang nyaman karena tangganya cukup curam dan padat.",netral,serbaneka,serbaneka,4,0,untuk menaikin candi disarankan memakai sepatu yang nyaman karena tangganya cukup curam padat,untuk menaikin candi saran pakai sepatu yang nyaman karena tangga cukup curam padat
21,di jawa tengah terdapat tempat wisata yang bagus untuk menjadi spot foto dengan alam sekitar yaitu candi borobudur yang banyak gambaran dan terdapat sejarah di candi tersebut,positif,lokasi,lokasi,2,1,jawa tengah terdapat tempat wisata yang bagus untuk menjadi titik foto dengan alam sekitar yaitu candi borobudur yang banyak gambaran terdapat sejarah candi tersebut,jawa tengah dapat tempat wisata yang bagus untuk jadi titik foto dengan alam sekitar yaitu candi borobudur yang banyak gambar dapat sejarah candi sebut
22,Menikmati perjalanan tur anda di Jogja dengan mengunjungi Candi Borobudur.,positif,lokasi,lokasi,2,1,menikmati perjalanan anda jogja dengan mengunjungi candi borobudur,nikmat jalan anda jogja dengan unjung candi borobudur
