Review,Review_Bersih,Review_bersih_joined,Aspek_Kategori,ganti,Sentimen,Label_Aspek,Label_Sen,Review_Bersih_NEG
Main kesini karena ini salah satu warisan budaya indonesia,main kesini karena salah satu warisan budaya indonesia,main kesini karena salah satu warisan budaya indonesia,serbaneka,positif,netral,4,1,main kesini karena salah satu warisan budaya indonesia
candi ini salah satu yg terbesar diindonesia,candi salah satu yang terbesar diindonesia,candi salah satu yang terbesar diindonesia,lokasi,positif,positif,2,1,candi salah satu yang terbesar diindonesia
sy tinggal di yogya juga tapi jarak nya kalo kesini lumayan jauh sihh,saya tinggal yogya juga tapi jarak kalau kesini lumayan jauh sihh,saya tinggal yogya juga tapi jarak kalau kesini lumayan jauh sihh,lokasi,negatif,negatif,2,0,saya tinggal yogya juga tapi jarak kalau kesini lumayan jauh sihh
Pengalaman berharga bisa kesini dengan teman2 alumni,pengalaman berharga bisa kesini dengan teman teman alumni,pengalaman berharga bisa kesini dengan teman teman alumni,serbaneka,positif,positif,4,1,pengalaman berharga bisa kesini dengan teman teman alumni
"Datang pas hujan, begitu masuk langsung sewa andhong buat mengantar ke gerbang candi.",datang hujan begitu masuk langsung sewa andhong buat mengantar gerbang candi,datang hujan begitu masuk langsung sewa andhong buat mengantar gerbang candi,fasilitas,positif,netral,1,1,datang hujan begitu masuk langsung sewa andhong buat mengantar gerbang candi
Begitu turun langsung sewa payung.,begitu turun langsung sewa payung,begitu turun langsung sewa payung,fasilitas,positif,netral,1,1,begitu turun langsung sewa payung
Seru.,seru,seru,serbaneka,positif,positif,4,1,
Walau hujan tetap berkeringat sampai puncak stupa.,walau hujan tetap berkeringat sampai puncak stupa,walau hujan tetap berkeringat sampai puncak stupa,serbaneka,positif,netral,4,1,walau hujan tetap berkeringat sampai puncak stupa
"Pulangnya nonton animasi Raka, petualangan samudera.",pulangnya nonton animasi raka petualangan samudera,pulangnya nonton animasi raka petualangan samudera,serbaneka,positif,netral,4,1,pulangnya nonton animasi raka petualangan samudera
Kereen.,keren,keren,serbaneka,positif,positif,4,1,
Saya terakhir kali mengunjungi Borobudur pada saat saya SD.,saya terakhir kali mengunjungi borobudur pada saat saya,saya terakhir kali mengunjungi borobudur pada saat saya,serbaneka,positif,netral,4,1,saya terakhir kali mengunjungi borobudur pada saat saya
Baru sekarang mendapat kesempatan untuk mengunjungi Borobudur kembali.,baru sekarang mendapat kesempatan untuk mengunjungi borobudur kembali,baru sekarang mendapat kesempatan untuk mengunjungi borobudur kembali,serbaneka,positif,netral,4,1,baru sekarang mendapat kesempatan untuk mengunjungi borobudur kembali
Kami mengunjungi Candi Borobudur pada siang-sore hari di bulan Desember.,kami mengunjungi candi borobudur pada siang sore hari bulan desember,kami mengunjungi candi borobudur pada siang sore hari bulan desember,serbaneka,positif,netral,4,1,kami mengunjungi candi borobudur pada siang sore hari bulan desember
